red,blue,score
"['[U:1:402718118]', '[U:1:97033636]', '[U:1:842830053]', '[U:1:155227384]', '[U:1:863015066]', '[U:1:118938526]']","['[U:1:1093421990]', '[U:1:130301058]', '[U:1:350058571]', '[U:1:84980776]', '[U:1:164469931]', '[U:1:1050919710]']","[5, 0]"
"['[U:1:118938526]', '[U:1:87181413]', '[U:1:842830053]', '[U:1:130301058]', '[U:1:1050919710]', '[U:1:84980776]']","['[U:1:402718118]', '[U:1:1093421990]', '[U:1:97033636]', '[U:1:155227384]', '[U:1:863015066]', '[U:1:350058571]']","[5, 1]"
"['[U:1:154627863]', '[U:1:103352915]', '[U:1:207531281]', '[U:1:94683089]', '[U:1:863015066]', '[U:1:1241493147]']","['[U:1:842830053]', '[U:1:409701962]', '[U:1:1007792924]', '[U:1:130301058]', '[U:1:307757367]', '[U:1:402718118]']","[5, 0]"
"['[U:1:94683089]', '[U:1:409701962]', '[U:1:402718118]', '[U:1:154627863]', '[U:1:842830053]', '[U:1:350058571]']","['[U:1:103352915]', '[U:1:183047241]', '[U:1:863015066]', '[U:1:130301058]', '[U:1:1241493147]', '[U:1:339024341]']","[3, 1]"
"['[U:1:198377443]', '[U:1:317981219]', '[U:1:438117348]', '[U:1:312713985]', '[U:1:1007792924]', '[U:1:1258031600]']","['[U:1:914240935]', '[U:1:193638340]', '[U:1:62591040]', '[U:1:183962091]', '[U:1:73086130]', '[U:1:117579832]']","[3, 2]"
"['[U:1:98528050]', '[U:1:117579832]', '[U:1:914240935]', '[U:1:453856590]', '[U:1:1052789333]', '[U:1:156440371]']","['[U:1:183962091]', '[U:1:361202567]', '[U:1:438117348]', '[U:1:919085644]', '[U:1:84980776]', '[U:1:73086130]']","[3, 3]"
"['[U:1:312713985]', '[U:1:1207021770]', '[U:1:139248838]', '[U:1:321734144]', '[U:1:1229126044]', '[U:1:198377443]', '[U:1:98528050]']","['[U:1:485271219]', '[U:1:87181413]', '[U:1:421576166]', '[U:1:155227384]', '[U:1:130301058]', '[U:1:371007765]']","[5, 0]"
"['[U:1:98528050]', '[U:1:998239081]', '[U:1:350058571]', '[U:1:1052789333]', '[U:1:919085644]', '[U:1:307757367]']","['[U:1:120209984]', '[U:1:863015066]', '[U:1:402718118]', '[U:1:842830053]', '[U:1:80969486]', '[U:1:94683089]']","[4, 0]"
"['[U:1:213858425]', '[U:1:1007792924]', '[U:1:314449381]', '[U:1:73086130]', '[U:1:198377443]', '[U:1:130301058]']","['[U:1:42954103]', '[U:1:155227384]', '[U:1:87181413]', '[U:1:1229126044]', '[U:1:485271219]', '[U:1:84980776]']","[5, 1]"
"['[U:1:314449381]', '[U:1:133515365]', '[U:1:1007792924]', '[U:1:198377443]', '[U:1:131400746]', '[U:1:73086130]']","['[U:1:207531281]', '[U:1:485271219]', '[U:1:155227384]', '[U:1:130301058]', '[U:1:84980776]', '[U:1:1229126044]']","[5, 0]"
"['[U:1:342061447]', '[U:1:998239081]', '[U:1:863015066]', '[U:1:904306638]', '[U:1:842830053]', '[U:1:117579832]', '[U:1:288196026]']","['[U:1:402718118]', '[U:1:256221812]', '[U:1:161368092]', '[U:1:339024341]', '[U:1:121079858]', '[U:1:260352292]']","[1, 3]"
"['[U:1:256221812]', '[U:1:161368092]', '[U:1:131400746]', '[U:1:155227384]', '[U:1:121079858]', '[U:1:117579832]']","['[U:1:260352292]', '[U:1:402718118]', '[U:1:288196026]', '[U:1:73086130]', '[U:1:842830053]', '[U:1:485271219]']","[5, 0]"
"['[U:1:438002921]', '[U:1:1052789333]', '[U:1:207531281]', '[U:1:1278657853]', '[U:1:317981219]', '[U:1:302544351]']","['[U:1:409701962]', '[U:1:990182760]', '[U:1:1268987270]', '[U:1:68037296]', '[U:1:842830053]', '[U:1:183962091]']","[4, 0]"
"['[U:1:87295840]', '[U:1:337877566]', '[U:1:117579832]', '[U:1:438117348]', '[U:1:438002921]', '[U:1:409701962]']","['[U:1:1052789333]', '[U:1:361202567]', '[U:1:395442481]', '[U:1:1268987270]', '[U:1:1108040484]', '[U:1:207531281]']","[5, 1]"
"['[U:1:301648784]', '[U:1:317981219]', '[U:1:438002921]', '[U:1:62591040]', '[U:1:246241288]', '[U:1:87295840]']","['[U:1:100621014]', '[U:1:914240935]', '[U:1:198377443]', '[U:1:1069849161]', '[U:1:183962091]', '[U:1:207531281]']","[5, 3]"
"['[U:1:183962091]', '[U:1:62591040]', '[U:1:246241288]', '[U:1:301648784]', '[U:1:100621014]', '[U:1:87295840]']","['[U:1:117579832]', '[U:1:1258031600]', '[U:1:207531281]', '[U:1:914240935]', '[U:1:1069849161]', '[U:1:198377443]']","[5, 0]"
"['[U:1:188567767]', '[U:1:207531281]', '[U:1:307757367]', '[U:1:44186221]', '[U:1:919085644]', '[U:1:108814174]', '[U:1:94683089]']","['[U:1:117579832]', '[U:1:229064914]', '[U:1:133515365]', '[U:1:301648784]', '[U:1:87295840]', '[U:1:296417871]']","[3, 2]"
"['[U:1:213858425]', '[U:1:1241493147]', '[U:1:155227384]', '[U:1:105013257]', '[U:1:87181413]', '[U:1:217627615]']","['[U:1:402718118]', '[U:1:350058571]', '[U:1:131400746]', '[U:1:409701962]', '[U:1:219622414]', '[U:1:130301058]']","[1, 5]"
"['[U:1:402718118]', '[U:1:155227384]', '[U:1:409701962]', '[U:1:219622414]', '[U:1:105013257]', '[U:1:87181413]']","['[U:1:350058571]', '[U:1:213858425]', '[U:1:1241493147]', '[U:1:131400746]', '[U:1:130301058]', '[U:1:217627615]']","[4, 2]"
"['[U:1:207531281]', '[U:1:246241288]', '[U:1:183962091]', '[U:1:815464669]', '[U:1:892993531]', '[U:1:317981219]']","['[U:1:339024341]', '[U:1:219622414]', '[U:1:198377443]', '[U:1:1108040484]', '[U:1:73086130]', '[U:1:1052789333]']","[2, 3]"
"['[U:1:1052789333]', '[U:1:207531281]', '[U:1:312713985]', '[U:1:246241288]', '[U:1:73086130]', '[U:1:815464669]']","['[U:1:183962091]', '[U:1:1258031600]', '[U:1:339024341]', '[U:1:1007792924]', '[U:1:317981219]', '[U:1:260352292]']","[4, 0]"
"['[U:1:1207021770]', '[U:1:100621014]', '[U:1:193638340]', '[U:1:914240935]', '[U:1:198377443]', '[U:1:342061447]']","['[U:1:104803329]', '[U:1:312713985]', '[U:1:1258031600]', '[U:1:73086130]', '[U:1:161958002]', '[U:1:919085644]']","[3, 1]"
"['[U:1:1258031600]', '[U:1:183962091]', '[U:1:104803329]', '[U:1:1110603288]', '[U:1:919085644]', '[U:1:198377443]']","['[U:1:100621014]', '[U:1:312713985]', '[U:1:1052789333]', '[U:1:198762683]', '[U:1:68037296]', '[U:1:342061447]']","[5, 0]"
"['[U:1:1258031600]', '[U:1:198762683]', '[U:1:485271219]', '[U:1:914240935]', '[U:1:1110603288]', '[U:1:1069849161]']","['[U:1:1229126044]', '[U:1:219622414]', '[U:1:249346279]', '[U:1:39964201]', '[U:1:1052789333]', '[U:1:342061447]']","[5, 0]"
"['[U:1:100621014]', '[U:1:1052789333]', '[U:1:39964201]', '[U:1:1229126044]', '[U:1:485271219]', '[U:1:213858425]']","['[U:1:921741768]', '[U:1:198377443]', '[U:1:342061447]', '[U:1:1069849161]', '[U:1:249346279]', '[U:1:29086594]']","[3, 2]"
"['[U:1:135318464]', '[U:1:919085644]', '[U:1:130663236]', '[U:1:1069849161]', '[U:1:1207021770]', '[U:1:39964201]']","['[U:1:219622414]', '[U:1:100621014]', '[U:1:1229126044]', '[U:1:62591040]', '[U:1:249346279]', '[U:1:342061447]']","[0, 1]"
"['[U:1:342061447]', '[U:1:155227384]', '[U:1:105013257]', '[U:1:249346279]', '[U:1:135318464]', '[U:1:485271219]']","['[U:1:219622414]', '[U:1:921741768]', '[U:1:402718118]', '[U:1:95707166]', '[U:1:150597945]', '[U:1:1207021770]']","[3, 4]"
"['[U:1:342061447]', '[U:1:95707166]', '[U:1:87181413]', '[U:1:105013257]', '[U:1:150597945]', '[U:1:249346279]']","['[U:1:219622414]', '[U:1:155227384]', '[U:1:247861908]', '[U:1:1207021770]', '[U:1:485271219]', '[U:1:207531281]']","[1, 5]"
"['[U:1:247861908]', '[U:1:207531281]', '[U:1:155227384]', '[U:1:1207021770]', '[U:1:249346279]', '[U:1:95707166]']","['[U:1:342061447]', '[U:1:126226938]', '[U:1:105013257]', '[U:1:150597945]', '[U:1:485271219]', '[U:1:1050919710]']","[2, 3]"
"['[U:1:87181413]', '[U:1:184444257]', '[U:1:342061447]', '[U:1:409701962]', '[U:1:485271219]', '[U:1:1050919710]']","['[U:1:103352915]', '[U:1:207531281]', '[U:1:904306638]', '[U:1:1007792924]', '[U:1:307757367]', '[U:1:249346279]']","[5, 3]"
"['[U:1:126226938]', '[U:1:863015066]', '[U:1:150597945]', '[U:1:105013257]', '[U:1:155227384]', '[U:1:84980776]']","['[U:1:95707166]', '[U:1:921741768]', '[U:1:871336449]', '[U:1:131400746]', '[U:1:73086130]', '[U:1:1207021770]']","[1, 5]"
"['[U:1:207531281]', '[U:1:998239081]', '[U:1:249346279]', '[U:1:409701962]', '[U:1:1207021770]', '[U:1:485271219]']","['[U:1:95707166]', '[U:1:871336449]', '[U:1:307757367]', '[U:1:1007792924]', '[U:1:105013257]', '[U:1:342061447]']","[1, 5]"
"['[U:1:288196026]', '[U:1:1007792924]', '[U:1:921741768]', '[U:1:73086130]', '[U:1:95707166]', '[U:1:342061447]']","['[U:1:207531281]', '[U:1:105376663]', '[U:1:249346279]', '[U:1:105013257]', '[U:1:409701962]', '[U:1:94683089]']","[2, 4]"
"['[U:1:288196026]', '[U:1:105376663]', '[U:1:921741768]', '[U:1:409701962]', '[U:1:94683089]', '[U:1:342061447]']","['[U:1:207531281]', '[U:1:249346279]', '[U:1:307757367]', '[U:1:105013257]', '[U:1:1169152210]', '[U:1:73086130]']","[5, 0]"
"['[U:1:207531281]', '[U:1:249346279]', '[U:1:288196026]', '[U:1:921741768]', '[U:1:118938526]', '[U:1:409701962]']","['[U:1:1007792924]', '[U:1:105376663]', '[U:1:73086130]', '[U:1:94683089]', '[U:1:1258031600]', '[U:1:342061447]']","[1, 5]"
"['[U:1:183962091]', '[U:1:1110603288]', '[U:1:84980776]', '[U:1:246241288]', '[U:1:919085644]', '[U:1:69039125]']","['[U:1:990182760]', '[U:1:1094264912]', '[U:1:342061447]', '[U:1:296417871]', '[U:1:914240935]', '[U:1:117579832]']","[5, 0]"
"['[U:1:246241288]', '[U:1:342061447]', '[U:1:1110603288]', '[U:1:198377443]', '[U:1:990182760]', '[U:1:1258031600]']","['[U:1:183962091]', '[U:1:921741768]', '[U:1:1094264912]', '[U:1:489591700]', '[U:1:198762683]', '[U:1:84980776]']","[4, 3]"
"['[U:1:301648784]', '[U:1:342061447]', '[U:1:117579832]', '[U:1:1052789333]', '[U:1:919085644]', '[U:1:296417871]']","['[U:1:69039125]', '[U:1:198762683]', '[U:1:183962091]', '[U:1:130967711]', '[U:1:156440371]', '[U:1:914240935]']","[1, 5]"
"['[U:1:117579832]', '[U:1:342061447]', '[U:1:301648784]', '[U:1:361202567]', '[U:1:990182760]', '[U:1:296417871]']","['[U:1:1258031600]', '[U:1:1052789333]', '[U:1:198762683]', '[U:1:84980776]', '[U:1:307757367]', '[U:1:489591700]']","[2, 3]"
"['[U:1:1052789333]', '[U:1:198762683]', '[U:1:301648784]', '[U:1:117579832]', '[U:1:213858425]', '[U:1:919085644]']","['[U:1:921741768]', '[U:1:296417871]', '[U:1:990182760]', '[U:1:489591700]', '[U:1:342061447]', '[U:1:914240935]', '[U:1:893485704]']","[0, 4]"
"['[U:1:842830053]', '[U:1:238849269]', '[U:1:1278657853]', '[U:1:217627615]', '[U:1:87295840]', '[U:1:350058571]']","['[U:1:893485704]', '[U:1:342061447]', '[U:1:288196026]', '[U:1:990182760]', '[U:1:55115984]', '[U:1:361202567]']","[5, 0]"
"['[U:1:402718118]', '[U:1:246241288]', '[U:1:229064914]', '[U:1:55115984]', '[U:1:155227384]', '[U:1:342061447]']","['[U:1:183962091]', '[U:1:173604068]', '[U:1:118938526]', '[U:1:914240935]', '[U:1:317981219]', '[U:1:1278657853]']","[0, 5]"
"['[U:1:100621014]', '[U:1:55115984]', '[U:1:229064914]', '[U:1:1082984115]', '[U:1:87295840]', '[U:1:914240935]']","['[U:1:342061447]', '[U:1:219622414]', '[U:1:155227384]', '[U:1:361202567]', '[U:1:173604068]', '[U:1:159858279]']","[3, 1]"
"['[U:1:409701962]', '[U:1:87181413]', '[U:1:146679886]', '[U:1:199442446]', '[U:1:91231051]', '[U:1:176300678]']","['[U:1:998239081]', '[U:1:207531281]', '[U:1:87295840]', '[U:1:209647313]', '[U:1:342061447]', '[U:1:198377443]']","[1, 5]"
"['[U:1:1258031600]', '[U:1:998239081]', '[U:1:105013257]', '[U:1:155227384]', '[U:1:199442446]', '[U:1:91231051]']","['[U:1:914240935]', '[U:1:207531281]', '[U:1:209647313]', '[U:1:146679886]', '[U:1:409701962]', '[U:1:198377443]']","[1, 5]"
"['[U:1:998239081]', '[U:1:105013257]', '[U:1:229064914]', '[U:1:207531281]', '[U:1:155227384]', '[U:1:87295840]']","['[U:1:146679886]', '[U:1:91231051]', '[U:1:121079858]', '[U:1:409701962]', '[U:1:42954103]', '[U:1:350058571]']","[1, 1]"
"['[U:1:87295840]', '[U:1:121079858]', '[U:1:409701962]', '[U:1:42954103]', '[U:1:146679886]', '[U:1:350058571]']","['[U:1:842830053]', '[U:1:209647313]', '[U:1:91231051]', '[U:1:207531281]', '[U:1:155227384]', '[U:1:914240935]']","[5, 2]"
"['[U:1:87295840]', '[U:1:193638340]', '[U:1:87181413]', '[U:1:198762683]', '[U:1:73086130]', '[U:1:288196026]']","['[U:1:842830053]', '[U:1:100621014]', '[U:1:205163219]', '[U:1:990182760]', '[U:1:247861908]', '[U:1:919085644]']","[1, 1]"
"['[U:1:198762683]', '[U:1:87181413]', '[U:1:117579832]', '[U:1:100621014]', '[U:1:1050919710]', '[U:1:990182760]']","['[U:1:402718118]', '[U:1:842830053]', '[U:1:193638340]', '[U:1:205163219]', '[U:1:166359895]', '[U:1:247861908]']","[5, 1]"
"['[U:1:402718118]', '[U:1:198762683]', '[U:1:117579832]', '[U:1:1050919710]', '[U:1:84980776]', '[U:1:919085644]']","['[U:1:361202567]', '[U:1:990182760]', '[U:1:193638340]', '[U:1:100621014]', '[U:1:288196026]', '[U:1:156501558]']","[2, 1]"
"['[U:1:219622414]', '[U:1:198762683]', '[U:1:156440371]', '[U:1:1050919710]', '[U:1:990182760]', '[U:1:288196026]']","['[U:1:402718118]', '[U:1:100621014]', '[U:1:156501558]', '[U:1:117579832]', '[U:1:919085644]', '[U:1:193638340]']","[4, 2]"
"['[U:1:155227384]', '[U:1:150597945]', '[U:1:428241817]', '[U:1:121079858]', '[U:1:998239081]', '[U:1:198377443]']","['[U:1:181035607]', '[U:1:168632192]', '[U:1:296417871]', '[U:1:105013257]', '[U:1:207531281]', '[U:1:108814174]']","[5, 0]"
"['[U:1:150597945]', '[U:1:121079858]', '[U:1:168632192]', '[U:1:296417871]', '[U:1:105013257]', '[U:1:998239081]']","['[U:1:181035607]', '[U:1:155227384]', '[U:1:317981219]', '[U:1:207531281]', '[U:1:229064914]', '[U:1:108814174]']","[2, 1]"
"['[U:1:84980776]', '[U:1:87181413]', '[U:1:296417871]', '[U:1:998239081]', '[U:1:207531281]', '[U:1:229064914]', '[U:1:350058571]']","['[U:1:181035607]', '[U:1:155227384]', '[U:1:317981219]', '[U:1:105013257]', '[U:1:108814174]', '[U:1:150597945]']","[5, 2]"
"['[U:1:1280960540]', '[U:1:176300678]', '[U:1:219622414]', '[U:1:1050919710]', '[U:1:158263311]', '[U:1:84980776]']","['[U:1:198377443]', '[U:1:188567767]', '[U:1:1241493147]', '[U:1:77996061]', '[U:1:100621014]', '[U:1:1269167570]']","[5, 0]"
"['[U:1:483032880]', '[U:1:198762683]', '[U:1:158263311]', '[U:1:84980776]', '[U:1:198377443]', '[U:1:1269167570]']","['[U:1:188567767]', '[U:1:1280960540]', '[U:1:914240935]', '[U:1:100621014]', '[U:1:1241493147]', '[U:1:176300678]']","[3, 1]"
"['[U:1:146679886]', '[U:1:198762683]', '[U:1:188567767]', '[U:1:166359895]', '[U:1:44186221]', '[U:1:158263311]']","['[U:1:77996061]', '[U:1:990182760]', '[U:1:156440371]', '[U:1:118938526]', '[U:1:1241493147]', '[U:1:312713985]']","[2, 1]"
"['[U:1:158263311]', '[U:1:443873947]', '[U:1:100621014]', '[U:1:44186221]', '[U:1:198377443]', '[U:1:990182760]']","['[U:1:146679886]', '[U:1:483032880]', '[U:1:229064914]', '[U:1:198762683]', '[U:1:312713985]', '[U:1:919085644]']","[3, 1]"
"['[U:1:100621014]', '[U:1:842830053]', '[U:1:183962091]', '[U:1:158263311]', '[U:1:795377653]', '[U:1:914240935]']","['[U:1:146679886]', '[U:1:198762683]', '[U:1:77996061]', '[U:1:87181413]', '[U:1:117579832]', '[U:1:95707166]']","[5, 0]"
"['[U:1:483032880]', '[U:1:198762683]', '[U:1:183962091]', '[U:1:225714327]', '[U:1:87181413]', '[U:1:44186221]']","['[U:1:229064914]', '[U:1:146679886]', '[U:1:173604068]', '[U:1:443873947]', '[U:1:488001041]', '[U:1:842830053]', '[U:1:117579832]']","[5, 1]"
"['[U:1:146679886]', '[U:1:443873947]', '[U:1:198762683]', '[U:1:259438873]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:350058571]']","['[U:1:77996061]', '[U:1:44186221]', '[U:1:488001041]', '[U:1:95707166]', '[U:1:207531281]', '[U:1:296417871]']","[3, 1]"
"['[U:1:100621014]', '[U:1:188567767]', '[U:1:207531281]', '[U:1:44186221]', '[U:1:84980776]', '[U:1:246241288]']","['[U:1:443873947]', '[U:1:105013257]', '[U:1:302544351]', '[U:1:135318464]', '[U:1:150597945]', '[U:1:914240935]']","[1, 5]"
"['[U:1:443873947]', '[U:1:100621014]', '[U:1:95707166]', '[U:1:105013257]', '[U:1:207531281]', '[U:1:135318464]']","['[U:1:162401190]', '[U:1:77996061]', '[U:1:188567767]', '[U:1:139248838]', '[U:1:150597945]', '[U:1:44186221]']","[3, 3]"
"['[U:1:81079996]', '[U:1:95707166]', '[U:1:44186221]', '[U:1:208665602]', '[U:1:296417871]', '[U:1:139248838]']","['[U:1:116428232]', '[U:1:77996061]', '[U:1:162401190]', '[U:1:150597945]', '[U:1:188567767]', '[U:1:130301058]']","[5, 1]"
"['[U:1:39964201]', '[U:1:98528050]', '[U:1:342061447]', '[U:1:95372503]', '[U:1:87181413]', '[U:1:116428232]']","['[U:1:202531898]', '[U:1:126187506]', '[U:1:296417871]', '[U:1:81079996]', '[U:1:164800184]', '[U:1:130301058]', '[U:1:80969486]']","[0, 4]"
"['[U:1:95372503]', '[U:1:342061447]', '[U:1:121079858]', '[U:1:130301058]', '[U:1:126226938]', '[U:1:73086130]']","['[U:1:402718118]', '[U:1:81079996]', '[U:1:80969486]', '[U:1:77996061]', '[U:1:116428232]', '[U:1:428241817]']","[2, 1]"
"['[U:1:402718118]', '[U:1:81079996]', '[U:1:77996061]', '[U:1:150597945]', '[U:1:96015935]', '[U:1:350058571]']","['[U:1:95372503]', '[U:1:1197877]', '[U:1:1007792924]', '[U:1:296417871]', '[U:1:839420488]', '[U:1:207531281]']","[0, 4]"
"['[U:1:126226938]', '[U:1:1007792924]', '[U:1:95372503]', '[U:1:150597945]', '[U:1:839420488]', '[U:1:350058571]']","['[U:1:77996061]', '[U:1:95707166]', '[U:1:207531281]', '[U:1:184444257]', '[U:1:96015935]', '[U:1:296417871]']","[2, 4]"
"['[U:1:96015935]', '[U:1:402718118]', '[U:1:126226938]', '[U:1:110923884]', '[U:1:155227384]', '[U:1:73086130]']","['[U:1:1258031600]', '[U:1:91231051]', '[U:1:209647313]', '[U:1:229064914]', '[U:1:169764222]', '[U:1:842830053]', '[U:1:105013257]']","[2, 1]"
"['[U:1:87295840]', '[U:1:914240935]', '[U:1:121079858]', '[U:1:312713985]', '[U:1:159858279]', '[U:1:184444257]']","['[U:1:188567767]', '[U:1:247861908]', '[U:1:44079783]', '[U:1:44186221]', '[U:1:453856590]', '[U:1:198377443]']","[1, 0]"
"['[U:1:342061447]', '[U:1:91231051]', '[U:1:150597945]', '[U:1:110923884]', '[U:1:296417871]', '[U:1:105013257]']","['[U:1:213852565]', '[U:1:169764222]', '[U:1:96015935]', '[U:1:155227384]', '[U:1:302544351]', '[U:1:73086130]']","[3, 3]"
"['[U:1:95707166]', '[U:1:198377443]', '[U:1:158263311]', '[U:1:188567767]', '[U:1:118938526]', '[U:1:1278657853]', '[U:1:110923884]']","['[U:1:44079783]', '[U:1:1258031600]', '[U:1:246241288]', '[U:1:87295840]', '[U:1:998239081]', '[U:1:307757367]']","[0, 5]"
"['[U:1:155136833]', '[U:1:121079858]', '[U:1:150597945]', '[U:1:105013257]', '[U:1:155227384]', '[U:1:110923884]', '[U:1:126226938]']","['[U:1:312713985]', '[U:1:914240935]', '[U:1:184444257]', '[U:1:169764222]', '[U:1:1057488316]', '[U:1:342061447]']","[2, 1]"
"['[U:1:198762683]', '[U:1:155136833]', '[U:1:155227384]', '[U:1:169764222]', '[U:1:105013257]', '[U:1:1112981307]']","['[U:1:126226938]', '[U:1:342061447]', '[U:1:110923884]', '[U:1:914240935]', '[U:1:150597945]', '[U:1:892993531]']","[4, 0]"
"['[U:1:1258031600]', '[U:1:100621014]', '[U:1:249346279]', '[U:1:158263311]', '[U:1:1241493147]', '[U:1:350058571]']","['[U:1:87295840]', '[U:1:209647313]', '[U:1:95707166]', '[U:1:44079783]', '[U:1:198377443]', '[U:1:81079996]']","[5, 1]"
"['[U:1:91231051]', '[U:1:39964201]', '[U:1:105013257]', '[U:1:126226938]', '[U:1:44079783]', '[U:1:110923884]']","['[U:1:87295840]', '[U:1:209647313]', '[U:1:342061447]', '[U:1:438002921]', '[U:1:81079996]', '[U:1:95707166]']","[2, 3]"
"['[U:1:188567767]', '[U:1:91231051]', '[U:1:914240935]', '[U:1:438002921]', '[U:1:199442446]', '[U:1:156440371]']","['[U:1:87295840]', '[U:1:95372503]', '[U:1:168737276]', '[U:1:110923884]', '[U:1:127437410]', '[U:1:342061447]']","[1, 5]"
"['[U:1:87295840]', '[U:1:409701962]', '[U:1:1197877]', '[U:1:438002921]', '[U:1:249346279]', '[U:1:209647313]']","['[U:1:1258031600]', '[U:1:168737276]', '[U:1:95372503]', '[U:1:96015935]', '[U:1:127437410]', '[U:1:199442446]']","[2, 4]"
"['[U:1:81079996]', '[U:1:998239081]', '[U:1:91231051]', '[U:1:95707166]', '[U:1:259438873]', '[U:1:103352915]']","['[U:1:402718118]', '[U:1:242575436]', '[U:1:110923884]', '[U:1:156440371]', '[U:1:1278657853]', '[U:1:342061447]']","[3, 3]"
"['[U:1:77996061]', '[U:1:121079858]', '[U:1:91231051]', '[U:1:96015935]', '[U:1:998239081]', '[U:1:94683089]']","['[U:1:87295840]', '[U:1:1197877]', '[U:1:342061447]', '[U:1:110923884]', '[U:1:209647313]', '[U:1:307757367]', '[U:1:154627863]']","[5, 1]"
"['[U:1:468494252]', '[U:1:249346279]', '[U:1:73985552]', '[U:1:361202567]', '[U:1:914240935]', '[U:1:110923884]']","['[U:1:317981219]', '[U:1:978148563]', '[U:1:100621014]', '[U:1:219622414]', '[U:1:73086130]', '[U:1:100437460]']","[0, 5]"
"['[U:1:1197877]', '[U:1:105013257]', '[U:1:438117348]', '[U:1:110923884]', '[U:1:978148563]', '[U:1:919085644]']","['[U:1:73985552]', '[U:1:314449381]', '[U:1:217627615]', '[U:1:296417871]', '[U:1:1185716570]', '[U:1:158263311]']","[2, 2]"
"['[U:1:339850851]', '[U:1:914240935]', '[U:1:155227384]', '[U:1:105013257]', '[U:1:162401190]', '[U:1:249346279]', '[U:1:317981219]', '[U:1:207531281]']","['[U:1:468494252]', '[U:1:161368092]', '[U:1:100437460]', '[U:1:100621014]', '[U:1:260352292]', '[U:1:73086130]']","[4, 4]"
"['[U:1:1280960540]', '[U:1:102862582]', '[U:1:131400746]', '[U:1:296417871]', '[U:1:110923884]', '[U:1:307757367]', '[U:1:317981219]']","['[U:1:489591700]', '[U:1:314449381]', '[U:1:978148563]', '[U:1:158263311]', '[U:1:919085644]', '[U:1:91231051]']","[2, 3]"
"['[U:1:468494252]', '[U:1:998239081]', '[U:1:105013257]', '[U:1:342061447]', '[U:1:73086130]', '[U:1:1076370420]']","['[U:1:161368092]', '[U:1:207531281]', '[U:1:1050919710]', '[U:1:155227384]', '[U:1:84980776]', '[U:1:249346279]']","[3, 4]"
"['[U:1:102862582]', '[U:1:317981219]', '[U:1:314449381]', '[U:1:307757367]', '[U:1:110923884]', '[U:1:217627615]']","['[U:1:1280960540]', '[U:1:91231051]', '[U:1:296417871]', '[U:1:158263311]', '[U:1:489591700]', '[U:1:919085644]']","[2, 2]"
"['[U:1:914240935]', '[U:1:1110603288]', '[U:1:100621014]', '[U:1:249346279]', '[U:1:110923884]', '[U:1:307757367]']","['[U:1:161368092]', '[U:1:156440371]', '[U:1:83628842]', '[U:1:302544351]', '[U:1:91231051]', '[U:1:978148563]']","[2, 3]"
"['[U:1:301648784]', '[U:1:95707166]', '[U:1:184444257]', '[U:1:839420488]', '[U:1:207531281]', '[U:1:73086130]']","['[U:1:84980776]', '[U:1:350058571]', '[U:1:1050919710]', '[U:1:288196026]', '[U:1:342061447]', '[U:1:371007765]']","[0, 2]"
"['[U:1:87295840]', '[U:1:161368092]', '[U:1:91231051]', '[U:1:83628842]', '[U:1:302544351]', '[U:1:110923884]']","['[U:1:914240935]', '[U:1:1110603288]', '[U:1:249346279]', '[U:1:978148563]', '[U:1:893485704]', '[U:1:868296991]', '[U:1:162401190]']","[3, 1]"
"['[U:1:395380187]', '[U:1:229064914]', '[U:1:302544351]', '[U:1:978148563]', '[U:1:1241493147]', '[U:1:839420488]']","['[U:1:301648784]', '[U:1:87295840]', '[U:1:155227384]', '[U:1:868296991]', '[U:1:342061447]', '[U:1:83628842]']","[4, 1]"
"['[U:1:83628842]', '[U:1:229064914]', '[U:1:342061447]', '[U:1:87295840]', '[U:1:1241493147]', '[U:1:110923884]']","['[U:1:1034495755]', '[U:1:438002921]', '[U:1:978148563]', '[U:1:868296991]', '[U:1:839420488]', '[U:1:1278657853]']","[1, 2]"
"['[U:1:893485704]', '[U:1:83628842]', '[U:1:1278657853]', '[U:1:1241493147]', '[U:1:438002921]', '[U:1:904306638]']","['[U:1:44186221]', '[U:1:117579832]', '[U:1:110923884]', '[U:1:107304716]', '[U:1:87295840]', '[U:1:868296991]']","[3, 0]"
"['[U:1:1007792924]', '[U:1:1278657853]', '[U:1:121079858]', '[U:1:44186221]', '[U:1:438002921]', '[U:1:350058571]']","['[U:1:95372503]', '[U:1:868296991]', '[U:1:893485704]', '[U:1:199442446]', '[U:1:87295840]', '[U:1:478873072]']","[3, 1]"
